NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Collaborators,Study Type,Start Date,Completion Date,Results First Posted,Locations,cleaned_text,disease_names,topic
NCT00072579,Sargramostim in Treating Patients With Chronic Phase Chronic Myelogenous Leukemia Who Are Not in Complete Cytogenetic Remission Following Initial Treatment,https://clinicaltrials.gov/study/NCT00072579,COMPLETED,"RATIONALE: Colony-stimulating factors, such as sargramostim, may increase the number of immune cells found in bone marrow or peripheral blood and may bring about complete remission in patients who have chronic phase chronic myelogenous leukemia.

PURPOSE: This phase II trial is studying sargramostim to see how well it works in treating patients with chronic phase chronic myelogenous leukemia that is not in complete cytogenetic remission after initial treatment.",NO,Leukemia,BIOLOGICAL: sargramostim,Cytogenetic response (complete and partial),Toxicity as assessed by the Expanded Common Toxicity Criteria v2.0|Time to progression|Survival,Wake Forest University Health Sciences,National Cancer Institute (NCI),INTERVENTIONAL,2003-05,2007-12,,"CCOP - Western Regional, Arizona, Phoenix, Arizona, 85006-2726, United States|CCOP - Bay Area Tumor Institute, Oakland, California, 94609-3305, United States|CCOP - Mount Sinai Medical Center, Miami Beach, Florida, 33140, United States|Regional Radiation Oncology Center at Rome, Rome, Georgia, 30165, United States|CCOP - Central Illinois, Decatur, Illinois, 62526, United States|Kentuckiana Cancer Institute, PLLC, Louisville, Kentucky, 40202, United States|MBCCOP - LSU Health Sciences Center, New Orleans, Louisiana, 70112, United States|Alamance Cancer Center, Burlington, North Carolina, 27216, United States|Hugh Chatham Memorial Hospital, Elkin, North Carolina, 28621, United States|Southeastern Medical Oncology Center, Goldsboro, North Carolina, 27534-9479, United States|Brody School of Medicine at East Carolina University, Greenville, North Carolina, 27858, United States|Comprehensive Cancer Center at Wake Forest University, Winston-Salem, North Carolina, 27157-1096, United States|CCOP - Columbus, Columbus, Ohio, 43206, United States|Cancer Centers of the Carolinas - Eastside, Greenville, South Carolina, 29615, United States|CCOP - Upstate Carolina, Spartanburg, South Carolina, 29303, United States","RATIONALE: Colony-stimulating factors, such as sargramostim, may increase the number of immune cells found in bone marrow or peripheral blood and may bring about complete remission in patients who have chronic phase chronic myelogenous leukemia.

PURPOSE: This phase II trial is studying sargramostim to see how well it works in treating patients with chronic phase chronic myelogenous leukemia that is not in complete cytogenetic remission after initial treatment. Leukemia",,1
NCT00517179,Effect of Vardenafil on Blood Pressure in Patients With Erectile Dysfunction Who Received Concomitant Doxazosin GITS,https://clinicaltrials.gov/study/NCT00517179,COMPLETED,The purpose of this study is to investigate the interaction between doxazosin GITS and vardenafil on blood pressure (Both systolic and diastolic blood pressure) in patients with both ED and BPH.,NO,Prostatic Hyperplasia|Impotence,DRUG: Vardenafil 10mg,"Mean maximal change of the standing systolic blood pressure (SBP) from half hour prior to till six hour after administration of the drug (baseline) with vardenafil administration versus placebo, From half hour prior to till six hour after administration of the drug (baseline)","Mean maximal post-baseline change of the standing and supine diastolic blood pressure (DBP), From half hour prior to till six hour after administration of the drug (baseline)|Mean maximal post-baseline change supine SBP, and (3) the pattern of changes of the SBP and DBP from half hour prior to till six hours after administration of the drug, From half hour prior to till six hour after administration of the drug (baseline)","Hospital Authority, Hong Kong",,INTERVENTIONAL,2006-04,2007-05,,"Prince of Wales Hospital, Hong Kong, China",The purpose of this study is to investigate the interaction between doxazosin GITS and vardenafil on blood pressure (Both systolic and diastolic blood pressure) in patients with both ED and BPH. Prostatic Hyperplasia|Impotence,,1
NCT00812279,Investigate the Exposure to Selected Smoke Constituents in Smokers Switching to Distillation Based Smoking Article,https://clinicaltrials.gov/study/NCT00812279,COMPLETED,"The overall purpose of this clinical study conducted in confinement under well-defined conditions is to obtain initial data on the levels of human body exposure to selected smoked constituents of the SMAR cigarette.

The main objective of this study is to compare the biomarkers of exposure to cigarette smoke constituents in smokers switching to SMAR and to biomarkers in smokers of conventional cigarettes (CC). The biomarkers of exposure will be measured in blood and urine samples collected from the subjects. Moreover, the biomarkers in subjects smoking conventional or SMAR cigarettes will be compared with those biomarkers in smokers who stop smoking for 5 days. The short term safety of this new product will also be evaluated.",NO,Smoking,OTHER: Distillation based smoking article (SMAR cigarette)|OTHER: conventional cigarette|OTHER: smoking cessation,"To demonstrate a reduction in the three primary biomarkers of exposure: Carboxyhaemoglobin concentration in blood, Urinary excretion of S-phenylmercapturic acid and urinary excretion of NNAL and NNAL-glucuronides (total NNAL), 5 days","To explore changes from baseline COHb, S-PMA, and total NNAL in the three study arms in the course of the study, 5 days|To explore changes from baseline in the three study arms with regard to urinary excretion of biomarkers of exposure to several other smoke constituents., 5 days|To assess urinary excretion of nicotine and its five major nicotine metabolites in the three study arms, 5 days|To assess nicotine and cotinine concentrations in plasma in the three study arms To compare levels of all biomarkers of exposure in the SMAR arm to those in the smoking cessation (SC) arm, 5 days|To assess the mutagenicity potential in urine at the end of the study in the three study arms, 5 days|To monitor blood pressure, pulse rate, electrocardiogram, clinical laboratory parameters (standard clinical biochemistry, standard haematology and urine analysis), and adverse events, 5 days|To investigate craving and withdrawal symptoms as well as pulmonary symptoms in all three study arms by means of questionnaires, 5 days|To investigate change in cytochrome P450 1A2 (CYP1A2) activity from D0 to D5 in the three study arms, 5 days|To assess and compare human smoking topography (HST) in smokers before and after switching to SMAR, 5 days",Philip Morris Products S.A.,,INTERVENTIONAL,2008-11,2009-02,,"MTZ Clinical Research Inc., Warsaw, 02-106, Poland","The overall purpose of this clinical study conducted in confinement under well-defined conditions is to obtain initial data on the levels of human body exposure to selected smoked constituents of the SMAR cigarette.

The main objective of this study is to compare the biomarkers of exposure to cigarette smoke constituents in smokers switching to SMAR and to biomarkers in smokers of conventional cigarettes (CC). The biomarkers of exposure will be measured in blood and urine samples collected from the subjects. Moreover, the biomarkers in subjects smoking conventional or SMAR cigarettes will be compared with those biomarkers in smokers who stop smoking for 5 days. The short term safety of this new product will also be evaluated. Smoking",,0
NCT01511679,Brain-imaging and Adolescent Neuroscience Consortium,https://clinicaltrials.gov/study/NCT01511679,WITHDRAWN,This is a multi-site study of adolescents 12-21 years-of-age to evaluate the long and shorter-term effect of adolescent alcohol use on the developing brain.,NO,Alcohol Abuse,,,,Boston Children's Hospital,Massachusetts General Hospital|Mclean Hospital|Massachusetts Institute of Technology,OBSERVATIONAL,2012-09,2017-09,,"McLean Hospital, Belmont, Massachusetts, 02478, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Boston University School of Medicine, Boston, Massachusetts, 02118, United States|Massachusetts Institute of Technology, Cambridge, Massachusetts, 02139, United States",This is a multi-site study of adolescents 12-21 years-of-age to evaluate the long and shorter-term effect of adolescent alcohol use on the developing brain. Alcohol Abuse,,1
NCT05602779,Leverage Noninvasive Transcutaneous Vagus Nerve Stimulation to Reduce Suicidal Behaviors in Vulnerable Adolescents,https://clinicaltrials.gov/study/NCT05602779,RECRUITING,"Suicidal thoughts, suicide attempts, and suicide are increasingly common in adolescence.

Current face-to-face prevention approaches are of limited effectiveness, rely on extensive resources, and are at odds with adolescents' digital preferences. We will evaluate two unconventional but promising interventions delivered to 13- to 17-year-olds: transcutaneous vagus nerve stimulation to target emotion dysregulation, and a peer-support smartphone app to combat social isolation. If effective, these digitally-delivered interventions could reach far more adolescents at far lower cost than current approaches.",NO,Self Harm|Suicidal Ideation,DEVICE: tVns Program|OTHER: Phone App Program|COMBINATION_PRODUCT: tVNS and Phone App Program|OTHER: Enhanced Treatment as Usual,"Change from Baseline in Non-Suicidal Self Injury Behaviors at 30 Days, Teens will be assessed at the baseline lab visit for emotion regulation and self-harm through questions on the Qualtrics survey (measures are Difficulties in Emotion Regulation Scale and the Youth Self Report). They will also complete a face-to-face interview with a trained staff member to assess their level of non-suicidal self-injury, suicide ideation, and suicide attempts. In addition, we will collect measures of psychophysiological reactivity (heart rate variability, cardiac pre-ejection period) to emotional challenge.

All participants will complete the same tasks at subsequent visits (post-treatment, on-year follow-up) and it is hoped that teens who have used the tVNS device for the 30-day intervention period will show improved responses. For the rate of change, we will use percentile ranking vis-a-vis national norms., 30 Days|Improved Reports of Social Isolation and Loneliness, Each participating teen will complete questions regarding feelings of loneliness and social isolation on the Qualtrics survey while in the lab at each visit. We are using the 8-item UCLA loneliness scale to measure this in each teen.

Some teens will be assigned to using the peer support phone app where they will be matched with another teen in this study. They will play a cooperative game with each other, and be able to text and share thoughts, feelings, etc. with each other. This app will hopefully improve teen's self-reported feelings of isolation and loneliness.

For the rate of change, we will use percentile ranking vis-a-vis national norms., 30 Days|Improved Results from Participant's Typical Treatment, Teens who are not placed in one of the active intervention groups will still be able to access our phone app which allows them to play a non-cooperative game on their own, and they are able to text with our team members during regular business hours. The added support will hopefully help their current treatment plan to improve their thoughts and behaviors in regard to suicidal ideation and self-harm.

For the rate of change, we will use percentile ranking vis-a-vis national norms., 30 Days","Adherence to tVNS and Phone App intervention from Baseline to 30 days., Using data from the Xen device and the phone app, we will be able to determine the number of occurances the device and app were accessed, as well as for how much time each was actively used. Participants will also report on acceptability, obtrusiveness, and favorability of both the device and the phone app., 30 Days",University of Notre Dame,University of Rochester,INTERVENTIONAL,08-10-2023,30-09-2027,,"University of Notre Dame, South Bend, Indiana, 46617, United States","Suicidal thoughts, suicide attempts, and suicide are increasingly common in adolescence.

Current face-to-face prevention approaches are of limited effectiveness, rely on extensive resources, and are at odds with adolescents' digital preferences. We will evaluate two unconventional but promising interventions delivered to 13- to 17-year-olds: transcutaneous vagus nerve stimulation to target emotion dysregulation, and a peer-support smartphone app to combat social isolation. If effective, these digitally-delivered interventions could reach far more adolescents at far lower cost than current approaches. Self Harm|Suicidal Ideation",,1
NCT01126879,Genistein in Treating Patients With Prostate Cancer,https://clinicaltrials.gov/study/NCT01126879,TERMINATED,"RATIONALE: Genistein may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.

PURPOSE: This randomized phase II trial is studying how well genistein works in treating patients with prostate cancer.",YES,Adenocarcinoma of the Prostate|Recurrent Prostate Cancer|Stage I Prostate Cancer|Stage II Prostate Cancer|Stage III Prostate Cancer,DIETARY_SUPPLEMENT: genistein|OTHER: placebo|PROCEDURE: therapeutic conventional surgery,"Number of Circulating Prostate Cells (CPCs) in the Blood as Determined by qRT-PCR for PSA on RNA Extracted From PBMNCs, Blood will be collected to analyze the number of CPC's at screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery., At screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery","Natural History of Circulating Prostate Cells (CPCs) in a Cohort of Subjects Prior to and Post Radical Prostatectomy, Blood will be drawn to analyze the natural history of circulating prostate cells (CPCs) in a cohort of subjects at baseline and 1 and 12 months after surgery., At baseline, 1 and 12 months after surgery|Measure the Effect of Genistein on Select Gene and Protein Expressions in Prostate Tissue, At baseline and time of surgery, tissue will be collected to measure the effect of genistein on select gene and protein expressions in prostate tissue., At baseline and at time of surgery|Measurement of PSA in Serum and Plasma by Nanotechnology, Blood will be collected to measure PSA in serum and plasma by nanotechnology at screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery., At screening, after 1-month of treatment, at surgery and at 1 and 12 months after surgery",Northwestern University,National Cancer Institute (NCI),INTERVENTIONAL,03-02-2011,28-12-2013,02-07-2019,"Northwestern University, Chicago, Illinois, 60611, United States","RATIONALE: Genistein may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.

PURPOSE: This randomized phase II trial is studying how well genistein works in treating patients with prostate cancer. Adenocarcinoma of the Prostate|Recurrent Prostate Cancer|Stage I Prostate Cancer|Stage II Prostate Cancer|Stage III Prostate Cancer",,1
NCT03791879,Caudal Dexmedetomidine Analgesia in Pediatrics .,https://clinicaltrials.gov/study/NCT03791879,COMPLETED,"Dexmedetomidine (DEXM) is a highly selective α2-adrenoceptor agonist that has been used increasingly in pediatric anesthesia. This prospective double blinded randomized comparative study is designed to evaluate the analgesic effect of caudal increasing doses of DEXM 0.5 , 1 , 1.5 , 2µg/kg combined with Levobupivacaine (Levob) 0.125% (ED95% =125%=least effective concentration) in providing pain relief over a 24-h period and lowest surgical stress peak. Study hypothesis: Levobupivacaine 0.125 %( ED95) combined with different increasing doses of dexamedatomedine \>1 µg/kg could not add more analgesic \& stress response obtundation outcome, but increase side effects (sedation and hemodynamic depression). The peak cortisol level during urology surgery was at the end of the 1st postoperative (PO) hour. Aim of the Study: To detect the optimal analgesic and safe caudal adjuvant DEXM dose associated with the least side effects\& stress response modulation, guided by PO Cortisol peak difference in between the study groups during pediatric hypospadias surgery.",NO,164 Boys for Hypospadias Surgery Under General Anesthesia With Caudal Block,DRUG: Caudal dexamedatomidine analgesia,"Time to (1st analgesic request objective pain score (OPS) ≥4), time from full recovery till child express moderate pain OPS 4 and ask for the first analgesic dose, Basal (0) till 24 hours.",,Mansoura University,,INTERVENTIONAL,01-01-2019,15-10-2020,,"Anesthesia department,Faculty of medicine, Mansoura univerisety, Mansoura, Egypt","Dexmedetomidine (DEXM) is a highly selective α2-adrenoceptor agonist that has been used increasingly in pediatric anesthesia. This prospective double blinded randomized comparative study is designed to evaluate the analgesic effect of caudal increasing doses of DEXM 0.5 , 1 , 1.5 , 2µg/kg combined with Levobupivacaine (Levob) 0.125% (ED95% =125%=least effective concentration) in providing pain relief over a 24-h period and lowest surgical stress peak. Study hypothesis: Levobupivacaine 0.125 %( ED95) combined with different increasing doses of dexamedatomedine \>1 µg/kg could not add more analgesic \& stress response obtundation outcome, but increase side effects (sedation and hemodynamic depression). The peak cortisol level during urology surgery was at the end of the 1st postoperative (PO) hour. Aim of the Study: To detect the optimal analgesic and safe caudal adjuvant DEXM dose associated with the least side effects\& stress response modulation, guided by PO Cortisol peak difference in between the study groups during pediatric hypospadias surgery. 164 Boys for Hypospadias Surgery Under General Anesthesia With Caudal Block",,0
NCT05531279,A Study of PEG-rhG-CSF and rhG-CSF Used for Aplastic Anemia Granulocyte Deficiency,https://clinicaltrials.gov/study/NCT05531279,RECRUITING,"This study was a single-center,open-label,randomized,dose-exploring prospective study.Patients with granulocytotic aplastic anemia who received cytokine treatment with PEG-rhG-CSF or rhG-CSF were enrolled.Clinical demographic data,disease characteristics of aplastic anemia,clinical diagnosis and treatment,laboratory data and adverse events were collected to explore the dose and safety of PEG-rhG-CSF and rhG-CSF in patients with severe aplastic anemia.",NO,Severe Aplastic Anemia,DRUG: PEG-rhG-CSF,"total number of effective (ANC>0.5×109/L) days, total number of effective (ANC\>0.5×109/L) days during 2 weeks of treatment(cases×days)., 2 weeks",,"Institute of Hematology & Blood Diseases Hospital, China",,INTERVENTIONAL,05-06-2022,05-01-2026,,"Institute of Hematology & Blood Diseases Hospital, Chinese Academy of Medical Sciences, Tianjin, Tianjin, 300020, China","This study was a single-center,open-label,randomized,dose-exploring prospective study.Patients with granulocytotic aplastic anemia who received cytokine treatment with PEG-rhG-CSF or rhG-CSF were enrolled.Clinical demographic data,disease characteristics of aplastic anemia,clinical diagnosis and treatment,laboratory data and adverse events were collected to explore the dose and safety of PEG-rhG-CSF and rhG-CSF in patients with severe aplastic anemia. Severe Aplastic Anemia",,1
NCT00684879,Screening Behavior in Adults With Hereditary Hemorrhagic Telangiectasia,https://clinicaltrials.gov/study/NCT00684879,COMPLETED,"This study will explore the factors that influence screening behaviors of adults diagnosed with hereditary hemorrhagic telangiectasia (HHT), an inherited condition in which blood vessel defects called arteriovenous malformations (AVMs) result in direct connections between arteries and veins. Patients most commonly have small AVMs called telangiectases on the tongue, face, hands, mouth, and throat and the mucosal linings of the nose and gastrointestinal tract. Recurrent nosebleeds are a hallmark of the disease. Large AVMs can also occur in various organs, causing sudden and life-threatening complications.

The study will examine how patients think and feel about their condition and what actions they take to screen for internal symptoms of the disease.

Men and women 18 years of age and older who have HHT may be eligible for this study. Participants fill out a 30-minute questionnaire, available in print or online, that includes questions about the participant s

* beliefs about HHT
* actions taken to screen for internal symptoms of HHT
* experience with HHT
* current health status, family history and demographic information",NO,"Osler-Rendu-Weber Disease|Osler-Rendu Disease|Telangiectasia, Hereditary Hemorrhagic",,,,National Human Genome Research Institute (NHGRI),,OBSERVATIONAL,21-05-2008,07-01-2016,,"National Human Genome Research Institute (NHGRI), 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","This study will explore the factors that influence screening behaviors of adults diagnosed with hereditary hemorrhagic telangiectasia (HHT), an inherited condition in which blood vessel defects called arteriovenous malformations (AVMs) result in direct connections between arteries and veins. Patients most commonly have small AVMs called telangiectases on the tongue, face, hands, mouth, and throat and the mucosal linings of the nose and gastrointestinal tract. Recurrent nosebleeds are a hallmark of the disease. Large AVMs can also occur in various organs, causing sudden and life-threatening complications.

The study will examine how patients think and feel about their condition and what actions they take to screen for internal symptoms of the disease.

Men and women 18 years of age and older who have HHT may be eligible for this study. Participants fill out a 30-minute questionnaire, available in print or online, that includes questions about the participant s

* beliefs about HHT
* actions taken to screen for internal symptoms of HHT
* experience with HHT
* current health status, family history and demographic information Osler-Rendu-Weber Disease|Osler-Rendu Disease|Telangiectasia, Hereditary Hemorrhagic",,0
NCT05591079,"A Study to Assess the Safety, Tolerability, Pharmacokinetics and Efficacy of CS0159 in Subjects With NASH",https://clinicaltrials.gov/study/NCT05591079,COMPLETED,"A randomized, double-blind study to assess the safety, tolerability, PK and efficacy of CS0159 in subjects with Non-Alcoholic Steatohepatitis (NASH)",NO,Nonalcoholic Steatohepatitis (NASH),DRUG: CS0159 (Linafexor),"MRI-PDFF, To assess the changes in liver steatosis through magnetic resonance imaging (MRI) proton density fat fraction (PDFF) from baseline to Week 12, Week 12|Adverse events, To evaluate the safety and tolerability of CS0159 in patients with NASH treated over 12 weeks, Week 12","Cmax, maximum concentration (Cmax) from baseline to Week 12, week 6, week 12|tmax, time to maximum plasma concentration (tmax) from baseline to Week 12, week 6, week 12|t1/2, half-life (t1/2) from baseline to Week 12, week 6, week 12|AUC, accumulation ratio of area under the concentration-time curve (AUC) in plasma from baseline to Week 12, week 6, week 12|Pharmacodynamics (PD), Plasma concentrations and PD parameters of the biomarkers of FXR target engagement fibroblast growth factor 19 and 7α-hydroxy-4-cholesten-3-one (C4) from baseline to Week 12, week 6, week 12","Cascade Pharmaceuticals, Inc",Laboratory Corporation of America,INTERVENTIONAL,10-02-2023,09-11-2023,,"National Research Institute - Gardena, Gardena, California, 90247-3586, United States|Velocity Clinical Research, Huntington Park, Huntington Park, California, 90255-2959, United States|Velocity Clinical Research - Panorama City, Panorama City, California, 91402-3022, United States|Velocity Clinical Research - Santa Ana, Santa Ana, California, 92704, United States|Ocala GI Research, Lady Lake, Florida, 32159, United States|Florida Research Institute, Lakewood, Florida, 34211-4930, United States|Floridian Clinical Research, LLC - Miami Lakes, Miami Lakes, Florida, 33016-1518, United States|San Marcus Research Clinic, Inc - Miami, Miami, Florida, 33014-5602, United States|Gastroenterology Associates of Ocala, Ocala, Florida, 34471, United States|Oracle Clinical Research, College Park, Georgia, 30349, United States|Metropolitan Gastroenterology Associates - Westbank Office and Endoscopy, Marrero, Louisiana, 70072, United States|Raja M. Din MD, PLLC - Gastroenterology & Hepatology, Greenbelt, Maryland, 20770-6702, United States|Lucas Research, Morehead City, North Carolina, 28557, United States|Texas Liver Institute (TLI) - Austin, Austin, Texas, 78757-7571, United States|Pioneer Research Solutions Inc - Houston - Stancliff Rd, Houston, Texas, 77099-4307, United States|The Texas Liver Institute, Inc., San Antonio, Texas, 78215, United States|Clinical Trials of Texas, LLC, San Antonio, Texas, 78229, United States","A randomized, double-blind study to assess the safety, tolerability, PK and efficacy of CS0159 in subjects with Non-Alcoholic Steatohepatitis (NASH) Nonalcoholic Steatohepatitis (NASH)",,1
